ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2018/2019;33.424;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37274113?pos=a37274113g:&np=1;;;;
2018/2019;33.424;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37274113?pos=a37274113g:&np=1;;;;
2016/2016;35.200;Manual;Hatchback;Gasolina e álcool;5;Branco;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-manual/0-portas/2016/34733378?pos=c34733378c:&np=1;Sim;Sim;;
2019/2019;51.083;Manual;Hatchback;Gasolina e álcool;3;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36252652?pos=d36252652g:&np=1;;Sim;;
2019/2020;53.500;Manual;Hatchback;Gasolina e álcool;8;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36623426?pos=e36623426g:&np=1;;Sim;;
2019/2019;41.644;Manual;Hatchback;Gasolina e álcool;1;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/35500164?pos=f35500164g:&np=1;;Sim;;
2019/2020;42.400;Manual;Hatchback;Gasolina e álcool;2;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36623471?pos=g36623471g:&np=1;;Sim;;
2019/2019;42.511;Manual;Hatchback;Gasolina e álcool;4;Cinza;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36169578?pos=h36169578g:&np=1;;Sim;;
2019/2019;36.719;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36169534?pos=i36169534g:&np=1;;Sim;;
2019/2019;42.461;Manual;Hatchback;Gasolina e álcool;7;Cinza;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36387360?pos=j36387360g:&np=1;;Sim;;
