link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2014-2015/36127863?pos=a36127863g:&np=1;42,89;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2014/2015;69000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2014/33602427?pos=b33602427c:&np=1;42,5;1;1.6 PREMIUM 16V FLEX 4P MANUAL;2014/2014;40000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/31196299?pos=c31196299c:&np=1;42,5;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2017;96000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/37111630?pos=d37111630g:&np=1;46,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2016;72000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2013/19250262?pos=e19250262c:&np=1;39,99;1;1.6 PREMIUM 16V FLEX 4P MANUAL;2013/2013;110000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37168919?pos=f37168919g:&np=1;41,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2015;59000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-1-million-16v-flex-4p-automatico/4-portas/2018-2019/37212767?pos=g37212767g:&np=1;70,89;1;1.6 1 MILLION 16V FLEX 4P AUTOMÁTICO;2018/2019;25000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/37518492?pos=h37518492g:&np=1;57,9;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2016/2016;59160 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/3-portas/2019/37549272?pos=i37549272m:&np=1;69,89;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2019/2019;22400 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37557637?pos=j37557637m:&np=1;72,29;1;1.0 12V FLEX EVOLUTION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37558167?pos=k37558167m:&np=1;70,89;1;1.0 12V FLEX EVOLUTION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2021-2022/37558348?pos=l37558348m:&np=1;70,79;1;1.0 12V FLEX EVOLUTION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37566101?pos=m37566101g:&np=1;43,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2015;62000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2017/37623508?pos=n37623508g:&np=1;55,5;1;1.6 COMFORT STYLE 16V FLEX 4P MANUAL;2017/2017;25000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2017/37628443?pos=o37628443g:&np=1;53,9;1;1.6 COMFORT STYLE 16V FLEX 4P MANUAL;2017/2017;56000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37641776?pos=p37641776m:&np=1;55,99;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2019;28882 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2019/37644353?pos=q37644353g:&np=1;72,9;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2019/2019;13723 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/37657497?pos=r37657497g:&np=1;65,9;1;1.0 12V FLEX VISION MANUAL;2019/2020;15600 km
